symbol,year,total_return,annual_return,benchmark_return,excess_return,max_drawdown,buy_signals,sell_signals,total_trades,profitable_trades,win_rate,profit_loss_ratio,avg_win,avg_loss,data_days,start_date,end_date
ADA_USDT,2023,,,,,-0.13692883895131103,5,195,4,0,0.0,0.0,0.0,0.02952049880279986,335,2023-01-31,2023-12-31
ALGO_USDT,2023,,,,,-0.15537303216974685,4,213,3,0,0.0,0.0,0.0,0.029864071365894185,335,2023-01-31,2023-12-31
APT_USDT,2023,,,,,-0.21264518765342444,6,247,5,2,0.4,0.8260673680828029,0.06284824241394793,0.07608125540633652,335,2023-01-31,2023-12-31
ATOM_USDT,2023,,,,,-0.14959568733153628,4,241,4,2,0.5,5.44233393676672,0.07309324358898162,0.013430495893533165,335,2023-01-31,2023-12-31
AVAX_USDT,2023,,,,,-0.1998754669987548,5,210,4,0,0.0,0.0,0.0,0.039105244799603,335,2023-01-31,2023-12-31
BCH_USDT,2023,,,,,-0.296026365953321,8,211,7,1,0.14285714285714285,17.979179281501352,0.8277153558052435,0.04603743824151494,335,2023-01-31,2023-12-31
BNB_USDT,2023,,,,,-0.23507486391306376,5,227,5,0,0.0,0.0,0.0,0.04752533391854535,335,2023-01-31,2023-12-31
BTC_USDT,2023,,,,,-0.09441066160144773,5,150,5,2,0.4,1.4664575249597938,0.033194021199112286,0.0226355149290958,335,2023-01-31,2023-12-31
DOGE_USDT,2023,,,,,-0.16954056243490345,2,208,2,2,1.0,0.0,0.05416154945194964,0.0,335,2023-01-31,2023-12-31
DOT_USDT,2023,,,,,-0.18516961136716692,3,215,3,1,0.3333333333333333,1.862680483914147,0.1473783656117146,0.0791216566042614,335,2023-01-31,2023-12-31
ETC_USDT,2023,,,,,-0.22152645124041082,6,214,6,1,0.16666666666666666,2.1426168433483004,0.1018913971934105,0.047554651457972885,335,2023-01-31,2023-12-31
ETH_USDT,2023,,,,,-0.2072175278819095,6,173,5,1,0.2,1.0597016559095458,0.03824381696879838,0.036089230167309284,335,2023-01-31,2023-12-31
FIL_USDT,2023,,,,,-0.28977148573452527,6,211,6,3,0.5,0.4737050840101088,0.0497571893870087,0.10503832672808487,335,2023-01-31,2023-12-31
FLOW_USDT,2023,,,,,-0.2758773485884224,6,212,5,1,0.2,0.23187054226667286,0.015801354401805884,0.06814731292443714,335,2023-01-31,2023-12-31
HBAR_USDT,2023,,,,,-0.1905408693978956,4,180,4,3,0.75,2.6435378207047764,0.09402460101001958,0.0355677154582764,335,2023-01-31,2023-12-31
ICP_USDT,2023,,,,,-0.26872978440060047,6,207,6,2,0.3333333333333333,2.402125745094783,0.1592489116517285,0.06629499391400297,335,2023-01-31,2023-12-31
LINK_USDT,2023,,,,,-0.20796890167806859,6,169,6,3,0.5,2.347611803021459,0.18533830751844402,0.07894759571403887,335,2023-01-31,2023-12-31
LTC_USDT,2023,,,,,-0.1016139823047324,6,214,6,1,0.16666666666666666,1.0791923014917786,0.01673701062436335,0.015508830633083285,335,2023-01-31,2023-12-31
MANA_USDT,2023,,,,,-0.19961693977442008,5,223,5,3,0.6,0.5933479302368787,0.028207792999767667,0.04754005459917327,335,2023-01-31,2023-12-31
NEAR_USDT,2023,,,,,-0.1583352708672403,5,230,4,2,0.5,0.4477157756912511,0.02274373460814138,0.05079949343537465,335,2023-01-31,2023-12-31
SAND_USDT,2023,,,,,-0.17123442808607026,6,224,6,2,0.3333333333333333,2.1482544948168525,0.07663656892342044,0.035673878075583414,335,2023-01-31,2023-12-31
SHIB_USDT,2023,,,,,-0.14851485148514854,3,201,2,0,0.0,0.0,0.0,0.010126582278481022,335,2023-01-31,2023-12-31
SOL_USDT,2023,,,,,-0.27855184090869,5,184,5,0,0.0,0.0,0.0,0.06262532705153166,335,2023-01-31,2023-12-31
